service_code,rate_zone_code,from_weight_grams,to_weight_grams,price_minor,additional_step_grams,additional_price_minor,source_sheet,source_cell
DOMESTIC_SAVER,23,0,501,401500,,,Domestic saver,J27
DOMESTIC_SAVER,22,0,501,1263500,,,Domestic saver,K27
DOMESTIC_SAVER,21,0,501,1762900,,,Domestic saver,L27
DOMESTIC_SAVER,20,0,501,2408500,,,Domestic saver,M27
DOMESTIC_SAVER,23,501,1001,578000,,,Domestic saver,J28
DOMESTIC_SAVER,22,501,1001,1448000,,,Domestic saver,K28
DOMESTIC_SAVER,21,501,1001,2031300,,,Domestic saver,L28
DOMESTIC_SAVER,20,501,1001,2864400,,,Domestic saver,M28
DOMESTIC_SAVER,23,1001,1501,735200,,,Domestic saver,J29
DOMESTIC_SAVER,22,1001,1501,1618300,,,Domestic saver,K29
DOMESTIC_SAVER,21,1001,1501,2209000,,,Domestic saver,L29
DOMESTIC_SAVER,20,1001,1501,3203000,,,Domestic saver,M29
DOMESTIC_SAVER,23,1501,2001,895100,,,Domestic saver,J30
DOMESTIC_SAVER,22,1501,2001,1808000,,,Domestic saver,K30
DOMESTIC_SAVER,21,1501,2001,2388100,,,Domestic saver,L30
DOMESTIC_SAVER,20,1501,2001,3544300,,,Domestic saver,M30
DOMESTIC_SAVER,23,2001,2501,1080100,,,Domestic saver,J31
DOMESTIC_SAVER,22,2001,2501,2002400,,,Domestic saver,K31
DOMESTIC_SAVER,21,2001,2501,2569100,,,Domestic saver,L31
DOMESTIC_SAVER,20,2001,2501,3889100,,,Domestic saver,M31
DOMESTIC_SAVER,23,2501,3001,1262100,,,Domestic saver,J32
DOMESTIC_SAVER,22,2501,3001,2200400,,,Domestic saver,K32
DOMESTIC_SAVER,21,2501,3001,2751700,,,Domestic saver,L32
DOMESTIC_SAVER,20,2501,3001,4221700,,,Domestic saver,M32
DOMESTIC_SAVER,23,3001,3501,1440100,,,Domestic saver,J33
DOMESTIC_SAVER,22,3001,3501,2405800,,,Domestic saver,K33
DOMESTIC_SAVER,21,3001,3501,2934500,,,Domestic saver,L33
DOMESTIC_SAVER,20,3001,3501,4556900,,,Domestic saver,M33
DOMESTIC_SAVER,23,3501,4001,1617500,,,Domestic saver,J34
DOMESTIC_SAVER,22,3501,4001,2613500,,,Domestic saver,K34
DOMESTIC_SAVER,21,3501,4001,3120900,,,Domestic saver,L34
DOMESTIC_SAVER,20,3501,4001,4896100,,,Domestic saver,M34
DOMESTIC_SAVER,23,4001,4501,1791800,,,Domestic saver,J35
DOMESTIC_SAVER,22,4001,4501,2802100,,,Domestic saver,K35
DOMESTIC_SAVER,21,4001,4501,3309000,,,Domestic saver,L35
DOMESTIC_SAVER,20,4001,4501,5237800,,,Domestic saver,M35
DOMESTIC_SAVER,23,4501,5001,1965500,,,Domestic saver,J36
