source_row_id,state_code,city_name,normalized_city_name,centre_area,rate_zone_code,surcharge_code,surcharge_type,surcharge_amount_minor,conflict_key
34,AB,OBINGWA,OBINGWA,ABA,21,524,E,500000,AB:OBINGWA
104,AB,OBI NGWA,OBINGWA,ABA,21,629,R,700000,AB:OBINGWA
456,BA,Jama'are,JAMAARE,BAUCHI,20,524,E,500000,BA:JAMAARE
467,BA,JAMA'ARE,JAMAARE,BAUCHI,20,629,R,700000,BA:JAMAARE
458,BA,ZAKI,ZAKI,BAUCHI,20,524,E,500000,BA:ZAKI
479,BA,ZAKI,ZAKI,BAUCHI,20,629,R,700000,BA:ZAKI
28,CR,EDIBA,EDIBA,CALABAR,21,524,E,500000,CR:EDIBA
134,CR,EDIBA,EDIBA,CALABAR,21,629,R,700000,CR:EDIBA
30,CR,EFFRAYA,EFFRAYA,CALABAR,21,524,E,500000,CR:EFFRAYA
135,CR,EFFRAYA,EFFRAYA,CALABAR,21,629,R,700000,CR:EFFRAYA
66,CR,MKPANI,MKPANI,CALABAR,21,524,E,500000,CR:MKPANI
140,CR,MKPANI,MKPANI,CALABAR,21,629,R,700000,CR:MKPANI
95,CR,UYANGA,UYANGA,CALABAR,21,524,E,500000,CR:UYANGA
146,CR,UYANGA,UYANGA,CALABAR,21,629,R,700000,CR:UYANGA
481,ED,EME ORA,EMEORA,BENIN,22,524,E,500000,ED:EMEORA
555,ED,EMEORA,EMEORA,BENIN,22,629,R,700000,ED:EMEORA
485,ED,OKOMU IDDO,OKOMUIDDO,BENIN,22,524,E,500000,ED:OKOMUIDDO
566,ED,OKOMU/IDDO,OKOMUIDDO,BENIN,22,629,R,700000,ED:OKOMUIDDO
727,KD,GIWA,GIWA,KADUNA,21,524,E,500000,KD:GIWA
2117,KD,GIWA,GIWA,ZARIA,20,524,E,500000,KD:GIWA
755,KD,KUBAU - ANCHAU,KUBAUANCHAU,KADUNA,21,629,R,700000,KD:KUBAUANCHAU
2127,KD,KUBAU-ANCHAU,KUBAUANCHAU,ZARIA,20,629,R,700000,KD:KUBAUANCHAU
835,KT,BATSARI,BATSARI,KATSINA,20,524,E,500000,KT:BATSARI
844,KT,BATSARI,BATSARI,KATSINA,20,629,R,700000,KT:BATSARI
841,KT,KUSADA,KUSADA,KATSINA,20,524,E,500000,KT:KUSADA
858,KT,KUSADA,KUSADA,KATSINA,20,629,R,700000,KT:KUSADA
885,LA,OKE-ARO,OKEARO,LAGOS,23,524,E,500000,LA:OKEARO
918,LA,OKE-ARO,OKEARO,LAGOS,23,629,R,700000,LA:OKEARO
431,ON,OKITIPUPA,OKITIPUPA,AKURE,21,524,E,500000,ON:OKITIPUPA
453,ON,OKITIPUPA,OKITIPUPA,AKURE,21,629,R,700000,ON:OKITIPUPA
344,OY,AGO -ARE,AGOARE,IBADAN,22,524,E,500000,OY:AGOARE
528,OY,AGO-ARE,AGOARE,IBADAN,22,629,R,700000,OY:AGOARE
431,OY,ILOBU,ILOBU,IBADAN,22,524,E,500000,OY:ILOBU
541,OY,ILOBU,ILOBU,IBADAN,22,629,R,700000,OY:ILOBU
643,PL,BOKKOS,BOKKOS,JOS,21,524,E,500000,PL:BOKKOS
667,PL,BOKKOS,BOKKOS,JOS,21,629,R,700000,PL:BOKKOS
1567,RI,K DERE,KDERE,PORT HARCOURT,21,524,E,500000,RI:KDERE
1568,RI,K-Dere,KDERE,PORT HARCOURT,21,524,E,500000,RI:KDERE
1674,RI,K-DERE,KDERE,PORT HARCOURT,21,629,R,700000,RI:KDERE
1573,RI,OGBOGORO,OGBOGORO,PORT HARCOURT,21,524,E,500000,RI:OGBOGORO
1717,RI,OGBOGORO,OGBOGORO,PORT HARCOURT,21,629,R,700000,RI:OGBOGORO
