source_row_id,state_code,city_name,normalized_city_name,centre_area,rate_zone_code,surcharge_code,surcharge_type,surcharge_amount_minor
56,AB,ABALA IBEME,ABALAIBEME,ABA,21,629,R,700000
57,AB,ABIRIBA,ABIRIBA,ABA,21,629,R,700000
58,AB,AHABA,AHABA,ABA,21,629,R,700000
1,AB,AHIABA OKPUALA,AHIABAOKPUALA,ABA,21,524,E,500000
2,AB,AHIABA UBI,AHIABAUBI,ABA,21,524,E,500000
59,AB,AKANU ITEM,AKANUITEM,ABA,21,629,R,700000
60,AB,AKOLI,AKOLI,ABA,21,629,R,700000
61,AB,AKWETE,AKWETE,ABA,21,629,R,700000
62,AB,ALAYI,ALAYI,ABA,21,629,R,700000
63,AB,AMAAKE-ITEM,AMAAKEITEM,ABA,21,629,R,700000
64,AB,AMABA,AMABA,ABA,21,629,R,700000
3,AB,AMACHARA,AMACHARA,ABA,21,524,E,500000
4,AB,AMACHI NSULU,AMACHINSULU,ABA,21,524,E,500000
65,AB,AMAEKE ABAM,AMAEKEABAM,ABA,21,629,R,700000
66,AB,AMAEKPU,AMAEKPU,ABA,21,629,R,700000
5,AB,AMAKAMA,AMAKAMA,ABA,21,524,E,500000
67,AB,AMANGWU,AMANGWU,ABA,21,629,R,700000
68,AB,AMANKALU,AMANKALU,ABA,21,629,R,700000
69,AB,AMAOGUDU,AMAOGUDU,ABA,21,629,R,700000
6,AB,AMAORJI,AMAORJI,ABA,21,524,E,500000
70,AB,AMAPU NTIGHA,AMAPUNTIGHA,ABA,21,629,R,700000
71,AB,AMAWOM,AMAWOM,ABA,21,629,R,700000
7,AB,AMEKE-IBEKU,AMEKEIBEKU,ABA,21,524,E,500000
72,AB,AMURU ABAM,AMURUABAM,ABA,21,629,R,700000
73,AB,ANIA,ANIA,ABA,21,629,R,700000
74,AB,ARIAM,ARIAM,ABA,21,629,R,700000
75,AB,AROCHUKWU,AROCHUKWU,ABA,21,629,R,700000
