pincode,state_code,state,district,city,locality,office_name,is_remote,confidence,source_url
100006,LA,Lagos,Alimosho,Ikotun,Ikotun,Ikotun,true,MEDIUM,https://nigeriapostal.com/location/NG-Lagos/Alimosho
100233,LA,Lagos,Somolu,Somolu,Somolu,Somolu,true,MEDIUM,https://zipcodes.ng/shomolu/
100253,LA,Lagos,Mushin,Mushin,Mushin,Mushin,true,HIGH,https://zipcodes.ng/mushin/
100271,LA,Lagos,Ikeja,Ikeja,Ikeja,Ikeja,false,HIGH,https://zipcodes.ng/ikeja/
100283,LA,Lagos,Agege,Agege,Agege,Agege,true,HIGH,https://zipcodes.ng/agege/
101001,LA,Lagos,Lagos Island,Lagos Island,Lagos Island,Lagos Island,true,MEDIUM,https://nigeriapostal.com/location/NG-Lagos/Lagos%20Island
101004,LA,Lagos,Lagos Island,Lagos Island,Lagos Island,Lagos Island,true,MEDIUM,https://nigeriapostal.com/location/NG-Lagos/Lagos%20Island
101005,LA,Lagos,Lagos Island,Lagos Island,Lagos Island,Lagos Island,true,MEDIUM,https://nigeriapostal.com/location/NG-Lagos/Lagos%20Island
101006,LA,Lagos,Lagos Island,Lagos Island,Lagos Island,Lagos Island,true,MEDIUM,https://nigeriapostal.com/location/NG-Lagos/Lagos%20Island
101013,LA,Lagos,Lagos Mainland,Ebute Metta,Ebute Metta,Ebute Metta,true,MEDIUM,https://nigeriapostal.com/location/NG-Lagos/Lagos%20Mainland
101014,LA,Lagos,Surulere,Surulere,Surulere,Surulere,true,MEDIUM,https://nigeriapostal.com/location/NG-Lagos/Surulere
101016,LA,Lagos,Lagos Mainland,Ebute Metta,Ebute Metta,Ebute Metta,true,MEDIUM,https://nigeriapostal.com/location/NG-Lagos/Lagos%20Mainland
101018,LA,Lagos,Lagos Island,Lagos Island,Lagos Island,Lagos Island,true,MEDIUM,https://nigeriapostal.com/location/NG-Lagos/Lagos%20Island
101224,LA,Lagos,Oshodi-Isolo,Oshodi,Oshodi,Oshodi,true,HIGH,https://zipcodes.ng/oshodi-isolo/
101233,LA,Lagos,Eti-Osa,Ikoyi,Ikoyi,Ikoyi,true,HIGH,https://zipcodes.ng/eti-osa/
102102,LA,Lagos,Amuwo-Odofin,Festac Town,Festac Town,Festac Town,true,HIGH,https://zipcodes.ng/amuwo-odofin/
102103,LA,Lagos,Ajeromi-Ifelodun,Ajegunle,Ajegunle,Ajegunle,true,HIGH,https://zipcodes.ng/ajeromi-ifelodun/
102105,LA,Lagos,Ojo,Ojo,Ojo,Ojo,true,HIGH,https://zipcodes.ng/ojo/
102107,LA,Lagos,Ojo,Ojo,Ojo,Ojo,true,HIGH,https://zipcodes.ng/ojo/
102108,LA,Lagos,Ojo,Ojo,Ojo,Ojo,true,HIGH,https://zipcodes.ng/ojo/
102109,LA,Lagos,Ojo,Ojo,Ojo,Ojo,true,HIGH,https://zipcodes.ng/ojo/
102110,LA,Lagos,Ojo,Ojo,Ojo,Ojo,true,HIGH,https://zipcodes.ng/ojo/
102111,LA,Lagos,Ojo,Ojo,Ojo,Ojo,true,HIGH,https://zipcodes.ng/ojo/
102112,LA,Lagos,Ojo,Ojo,Ojo,Ojo,true,HIGH,https://zipcodes.ng/ojo/
102113,LA,Lagos,Ojo,Ojo,Ojo,Ojo,true,HIGH,https://zipcodes.ng/ojo/
102114,LA,Lagos,Ojo,Ojo,Ojo,Ojo,true,HIGH,https://zipcodes.ng/ojo/
102115,LA,Lagos,Ojo,Ojo,Ojo,Ojo,true,HIGH,https://zipcodes.ng/ojo/
102241,LA,Lagos,Apapa,Apapa,Apapa,Apapa,true,HIGH,https://zipcodes.ng/apapa/
103211,LA,Lagos,Badagry,Badagry,Badagry,Badagry,true,HIGH,https://zipcodes.ng/badargry/
103241,LA,Lagos,Badagry,Badagry,Badagry,Badagry,true,HIGH,https://zipcodes.ng/badargry/
103242,LA,Lagos,Badagry,Badagry,Badagry,Badagry,true,HIGH,https://zipcodes.ng/badargry/
103251,LA,Lagos,Badagry,Badagry,Badagry,Badagry,true,HIGH,https://zipcodes.ng/badargry/
103261,LA,Lagos,Badagry,Badagry,Badagry,Badagry,true,HIGH,https://zipcodes.ng/badargry/
104211,LA,Lagos,Ikorodu,Ikorodu,Ikorodu,Ikorodu,true,HIGH,https://zipcodes.ng/lkorodu/
104212,LA,Lagos,Ikorodu,Ikorodu,Ikorodu,Ikorodu,true,HIGH,https://zipcodes.ng/lkorodu/
104213,LA,Lagos,Ikorodu,Ikorodu,Ikorodu,Ikorodu,true,HIGH,https://zipcodes.ng/lkorodu/
104214,LA,Lagos,Ikorodu,Ikorodu,Ikorodu,Ikorodu,true,HIGH,https://zipcodes.ng/lkorodu/
104221,LA,Lagos,Ikorodu,Ikorodu,Ikorodu,Ikorodu,true,HIGH,https://zipcodes.ng/lkorodu/
104222,LA,Lagos,Ikorodu,Ikorodu,Ikorodu,Ikorodu,true,HIGH,https://zipcodes.ng/lkorodu/
104223,LA,Lagos,Ikorodu,Ikorodu,Ikorodu,Ikorodu,true,HIGH,https://zipcodes.ng/lkorodu/
104224,LA,Lagos,Ikorodu,Ikorodu,Ikorodu,Ikorodu,true,HIGH,https://zipcodes.ng/lkorodu/
104225,LA,Lagos,Ikorodu,Ikorodu,Ikorodu,Ikorodu,true,HIGH,https://zipcodes.ng/lkorodu/
104231,LA,Lagos,Ikorodu,Ikorodu,Ikorodu,Ikorodu,true,HIGH,https://zipcodes.ng/lkorodu/
104232,LA,Lagos,Ikorodu,Ikorodu,Ikorodu,Ikorodu,true,HIGH,https://zipcodes.ng/lkorodu/
104233,LA,Lagos,Ikorodu,Ikorodu,Ikorodu,Ikorodu,true,HIGH,https://zipcodes.ng/lkorodu/
105101,LA,Lagos,Ibeju-Lekki,Akodo,Akodo,Akodo,true,MEDIUM,https://zipcodes.ng/ibeju/
105102,LA,Lagos,Kosofe,Kosofe,Kosofe,Kosofe,true,HIGH,https://zipcodes.ng/kosofe/
106101,LA,Lagos,Epe,Epe,Epe,Epe,true,HIGH,https://zipcodes.ng/epe/
106102,LA,Lagos,Epe,Epe,Epe,Epe,true,HIGH,https://zipcodes.ng/epe/
106103,LA,Lagos,Epe,Epe,Epe,Epe,true,HIGH,https://zipcodes.ng/epe/
106104,LA,Lagos,Epe,Epe,Epe,Epe,true,HIGH,https://zipcodes.ng/epe/
110101,OG,Ogun,Abeokuta North,"Akomoje, Abeokuta","Akomoje, Abeokuta","Akomoje, Abeokuta",false,HIGH,https://zipcodes.ng/abeokuta/
110103,OG,Ogun,Abeokuta North,"Akomoje, Abeokuta","Akomoje, Abeokuta","Akomoje, Abeokuta",false,HIGH,https://zipcodes.ng/abeokuta/
110104,OG,Ogun,Obafemi Owode,Owode,Owode,Owode,true,HIGH,https://zipcodes.ng/obafemi-owode/
110105,OG,Ogun,Obafemi Owode,Owode,Owode,Owode,true,HIGH,https://zipcodes.ng/obafemi-owode/
110106,OG,Ogun,Obafemi Owode,Owode,Owode,Owode,true,HIGH,https://zipcodes.ng/obafemi-owode/
110107,OG,Ogun,Obafemi Owode,Owode,Owode,Owode,true,HIGH,https://zipcodes.ng/obafemi-owode/
110108,OG,Ogun,Obafemi Owode,Owode,Owode,Owode,true,HIGH,https://zipcodes.ng/obafemi-owode/
110109,OG,Ogun,Odeda,Odeda,Odeda,Odeda,true,HIGH,https://zipcodes.ng/odeda/
110110,OG,Ogun,Odeda,Odeda,Odeda,Odeda,true,HIGH,https://zipcodes.ng/odeda/
110111,OG,Ogun,Odeda,Odeda,Odeda,Odeda,true,HIGH,https://zipcodes.ng/odeda/
110112,OG,Ogun,Obafemi Owode,Owode,Owode,Owode,true,HIGH,https://zipcodes.ng/obafemi-owode/
110113,OG,Ogun,Obafemi Owode,Owode,Owode,Owode,true,HIGH,https://zipcodes.ng/obafemi-owode/
110114,OG,Ogun,Obafemi Owode,Owode,Owode,Owode,true,HIGH,https://zipcodes.ng/obafemi-owode/
110115,OG,Ogun,Obafemi Owode,Owode,Owode,Owode,true,HIGH,https://zipcodes.ng/obafemi-owode/
110116,OG,Ogun,Obafemi Owode,Owode,Owode,Owode,true,HIGH,https://zipcodes.ng/obafemi-owode/
110117,OG,Ogun,Obafemi Owode,Owode,Owode,Owode,true,HIGH,https://zipcodes.ng/obafemi-owode/
110118,OG,Ogun,Obafemi Owode,Owode,Owode,Owode,true,HIGH,https://zipcodes.ng/obafemi-owode/
110119,OG,Ogun,Odeda,Odeda,Odeda,Odeda,true,HIGH,https://zipcodes.ng/odeda/
110120,OG,Ogun,Odeda,Odeda,Odeda,Odeda,true,HIGH,https://zipcodes.ng/odeda/
110121,OG,Ogun,Odeda,Odeda,Odeda,Odeda,true,HIGH,https://zipcodes.ng/odeda/
110122,OG,Ogun,Odeda,Odeda,Odeda,Odeda,true,HIGH,https://zipcodes.ng/odeda/
110123,OG,Ogun,Odeda,Odeda,Odeda,Odeda,true,HIGH,https://zipcodes.ng/odeda/
110124,OG,Ogun,Odeda,Odeda,Odeda,Odeda,true,HIGH,https://zipcodes.ng/odeda/
110125,OG,Ogun,Odeda,Odeda,Odeda,Odeda,true,HIGH,https://zipcodes.ng/odeda/
110211,OG,Ogun,Abeokuta South,"Ake, Abeokuta","Ake, Abeokuta","Ake, Abeokuta",false,HIGH,https://zipcodes.ng/abeokuta-town/
110212,OG,Ogun,Abeokuta South,"Ake, Abeokuta","Ake, Abeokuta","Ake, Abeokuta",false,HIGH,https://zipcodes.ng/abeokuta-town/
110213,OG,Ogun,Abeokuta South,"Ake, Abeokuta","Ake, Abeokuta","Ake, Abeokuta",false,HIGH,https://zipcodes.ng/abeokuta-town/
110221,OG,Ogun,Abeokuta South,"Ake, Abeokuta","Ake, Abeokuta","Ake, Abeokuta",false,HIGH,https://zipcodes.ng/abeokuta-town/
110222,OG,Ogun,Abeokuta South,"Ake, Abeokuta","Ake, Abeokuta","Ake, Abeokuta",false,HIGH,https://zipcodes.ng/abeokuta-town/
110232,OG,Ogun,Abeokuta South,"Ake, Abeokuta","Ake, Abeokuta","Ake, Abeokuta",false,HIGH,https://zipcodes.ng/abeokuta-town/
110241,OG,Ogun,Abeokuta South,"Ake, Abeokuta","Ake, Abeokuta","Ake, Abeokuta",false,HIGH,https://zipcodes.ng/abeokuta-town/
110242,OG,Ogun,Abeokuta South,"Ake, Abeokuta","Ake, Abeokuta","Ake, Abeokuta",false,HIGH,https://zipcodes.ng/abeokuta-town/
110251,OG,Ogun,Abeokuta South,"Ake, Abeokuta","Ake, Abeokuta","Ake, Abeokuta",false,HIGH,https://zipcodes.ng/abeokuta-town/
110252,OG,Ogun,Abeokuta South,"Ake, Abeokuta","Ake, Abeokuta","Ake, Abeokuta",false,HIGH,https://zipcodes.ng/abeokuta-town/
110253,OG,Ogun,Abeokuta South,"Ake, Abeokuta","Ake, Abeokuta","Ake, Abeokuta",false,HIGH,https://zipcodes.ng/abeokuta-town/
110262,OG,Ogun,Abeokuta South,"Ake, Abeokuta","Ake, Abeokuta","Ake, Abeokuta",false,HIGH,https://zipcodes.ng/abeokuta-town/
110271,OG,Ogun,Abeokuta South,"Ake, Abeokuta","Ake, Abeokuta","Ake, Abeokuta",false,HIGH,https://zipcodes.ng/abeokuta-town/
110272,OG,Ogun,Abeokuta South,"Ake, Abeokuta","Ake, Abeokuta","Ake, Abeokuta",false,HIGH,https://zipcodes.ng/abeokuta-town/
110281,OG,Ogun,Abeokuta South,"Ake, Abeokuta","Ake, Abeokuta","Ake, Abeokuta",false,HIGH,https://zipcodes.ng/abeokuta-town/
110282,OG,Ogun,Abeokuta South,"Ake, Abeokuta","Ake, Abeokuta","Ake, Abeokuta",false,HIGH,https://zipcodes.ng/abeokuta-town/
111101,OG,Ogun,Yewa South,Ilaro,Ilaro,Ilaro,true,HIGH,https://zipcodes.ng/yewa-south/
111102,OG,Ogun,Yewa South,Ilaro,Ilaro,Ilaro,true,HIGH,https://zipcodes.ng/yewa-south/
111104,OG,Ogun,Imeko Afon,Imeko,Imeko,Imeko,true,HIGH,https://zipcodes.ng/imeko-afon/
111105,OG,Ogun,Yewa North,Ayetoro,Ayetoro,Ayetoro,true,HIGH,https://zipcodes.ng/yewa-north/
111106,OG,Ogun,Yewa North,Ayetoro,Ayetoro,Ayetoro,true,HIGH,https://zipcodes.ng/yewa-north/
111107,OG,Ogun,Imeko Afon,Imeko,Imeko,Imeko,true,HIGH,https://zipcodes.ng/imeko-afon/
111108,OG,Ogun,Yewa North,Ayetoro,Ayetoro,Ayetoro,true,HIGH,https://zipcodes.ng/yewa-north/
111109,OG,Ogun,Yewa North,Ayetoro,Ayetoro,Ayetoro,true,HIGH,https://zipcodes.ng/yewa-north/
112101,OG,Ogun,Ado-Odo/Ota,Ota,Ota,Ota,true,MEDIUM,https://zipcodes.ng/ado-odo-otta/
112102,OG,Ogun,Ado-Odo/Ota,Ota,Ota,Ota,true,MEDIUM,https://zipcodes.ng/ado-odo-otta/
112103,OG,Ogun,Ado-Odo/Ota,Ota,Ota,Ota,true,MEDIUM,https://zipcodes.ng/ado-odo-otta/
112104,OG,Ogun,Ifo,Ifo,Ifo,Ifo,true,HIGH,https://zipcodes.ng/ifo/
112105,OG,Ogun,Ifo,Ifo,Ifo,Ifo,true,HIGH,https://zipcodes.ng/ifo/
112106,OG,Ogun,Ewekoro,Itori,Itori,Itori,true,HIGH,https://zipcodes.ng/ewekoro/
112107,OG,Ogun,Ifo,Ifo,Ifo,Ifo,true,HIGH,https://zipcodes.ng/ifo/
112211,OG,Ogun,Sango Ota,Sango Ota,Sango Ota,Sango Ota,true,HIGH,https://zipcodes.ng/sango-ota/
112212,OG,Ogun,Sango Ota,Sango Ota,Sango Ota,Sango Ota,true,HIGH,https://zipcodes.ng/sango-ota/
112213,OG,Ogun,Sango Ota,Sango Ota,Sango Ota,Sango Ota,true,HIGH,https://zipcodes.ng/sango-ota/
112214,OG,Ogun,Sango Ota,Sango Ota,Sango Ota,Sango Ota,true,HIGH,https://zipcodes.ng/sango-ota/
112215,OG,Ogun,Sango Ota,Sango Ota,Sango Ota,Sango Ota,true,HIGH,https://zipcodes.ng/sango-ota/
112216,OG,Ogun,Sango Ota,Sango Ota,Sango Ota,Sango Ota,true,HIGH,https://zipcodes.ng/sango-ota/
112221,OG,Ogun,Sango Ota,Sango Ota,Sango Ota,Sango Ota,true,HIGH,https://zipcodes.ng/sango-ota/
112222,OG,Ogun,Sango Ota,Sango Ota,Sango Ota,Sango Ota,true,HIGH,https://zipcodes.ng/sango-ota/
112223,OG,Ogun,Sango Ota,Sango Ota,Sango Ota,Sango Ota,true,HIGH,https://zipcodes.ng/sango-ota/
112224,OG,Ogun,Sango Ota,Sango Ota,Sango Ota,Sango Ota,true,HIGH,https://zipcodes.ng/sango-ota/
